rent	condominium	iptu	adress	area	room	car_space	bathroom	description	link
1970	59266		Avenida Orosimbo Maia, Centro	41	0	2	1	Excelente sala em prédio novo na Av. Orozimbo Maia. Andar alto. Varanda. 41m², 1 banheiro, 2 vagas. Podendo ser unificada a outra sala de 43m², 1 banheiro, 2 vagas. Criar Soluções...	
2000	450	42	Rua Francisco de Assis Pupo, Vila Industrial	60	3	1	2	Apartamento para Aluguel - Vila Industrial, 3 Quartos, 60 - Campinas	
3800	660	300	Rua Bortolo Martins, Barão Geraldo	300	3	2	4	Casa para Aluguel - Guará, 3 Quartos, 300 - Campinas	
1400			Avenida Doutor Arlindo Joaquim de Lemos, Vila Lemos	75	1	0	1	Ótima casa de fundos, com 1 dormitório sendo suíte, sala grande, garagem com portão eletrônico.Próximo a supermercado, lanchonetes, padarias e farmácias.AGENDE SUA VISI...	
6000	2500	503	Rua Sacramento, Vila Itapura	220	3	4	5	Lindo Apartamento Palazzo Mirafiori - Guanabara - Campinas/sp.Nobre localização no Guanabara - Palazzo Mirafiori é um edifício de 23 andares, um apartamento por andar! 3 qu...	
8500		350	Rua Culto à Ciência, Jardim Guanabara	396	12	7	4	Casa comercial para no Bairro Botafogo / Guanabara, em Campinas, com ótima localização - Imóvel para vários tipos de segmentos como Consultórios, Clínicas, escritórios de arquitetu...	
1300	462	62	Barão Geraldo, Campinas	50	1	1	1	Apartamento para Aluguel - Barão Geraldo - Centro, 1 Quarto, 50 - Campinas	
1400		170	Rua Engenheiro Osvaldo Nascimento de Lemos, Vila Lemos	100	2	2	2	Casa ampla, 2 dorm´s, com suite AE , 2 salas, cozinha planejada, fogão e máquina de lavar, gar para 2 carros. -	
1280	450		Rua Professor Saul Carlos da Silva, Jardim Santa Marcelina	73	2	1	1	Apartamento para Aluguel - Jardim Santa Marcelina, 2 Quartos, 73 - Campinas	
3500			Rua José Strazzacapa, Jardim Madalena	85	4	3	3	Casa para Aluguel - Jardim Madalena, 4 Quartos, 85 - Campinas	
1100	253	10	Rua Salto Grande, Parque Prado	43	2	1	1	Apartamento para Aluguel - Parque Prado, 2 Quartos, 43 - Campinas	
2700		165	Rua Basílio de Magalhães, Taquaral	170	3	4	3	Casa para Aluguel - Alto Taquaral, 3 Quartos, 170 - Campinas	
5000	910	275	Rua Coronel Quirino, Cambuí	105	3	2	3	Apartamento para Aluguel - Cambuí, 3 Quartos, 105 - Campinas	
950		25	Rua Ibitinga, Vila João Jorge	50	2	1	1	Casa com 02 dormitórios de fundos, sala conjugada com a cozinha com gabinete, wc com box blindex, area de serviço, piso frio, reformada, 1 vaga de garagem de gaveta. -	
2730	468	546	Rua Thomas Nilsen Júnior, Parque Imperador	80	3	2	2	Aluga, Sobrado, 3 dormitórios, 1 suíte com ar condicionado, 2 com armários planejados e banheiro social.Sala em L, para 2 ambientes, cozinha integrada, quintal e área de serviç...	
1000	280	25	Avenida São José dos Campos, Loteamento Parque São Martinho	50	2	1	1	Apartamento para Aluguel - Parque das Águas, 2 Quartos, 50 - Campinas	
1250	460	61	Avenida Doutor Carlos de Campos, Parque Industrial	60	3	1	2	Apartamento para Aluguel - Parque Industrial, 3 Quartos, 60 - Campinas	
2950	560	186	Mansões Santo Antônio, Campinas	75	2	2	2	Apartamento mobiliado para locação no Mansões do Santo Antônio em Campinas. Excelente apartamento mobiliado, ar condicionado. 2 quartos, sendo 1 suíte com closet. Sala 2 ambientes,...	
920	380	19	Rua João Iamarino, Jardim Flamboyant	42	2	1	1	Apartamento para Aluguel - Jardim Flamboyant, 2 Quartos, 42 - Campinas	
1040	350	41	Rua Domício Pacheco e Silva, Jardim Novo Campos Elíseos	57	2	1	1	Apartamento para Aluguel - Campos Elíseos, 2 Quartos, 57 - Campinas	
3300		125	Avenida Doutor Ângelo Simões, Vila Marieta	250	3	4	4	Casa para Aluguel - Vila Marieta, 3 Quartos, 250 - Campinas	
1442	700	102	Rua dos Guatás, Santa Genebra	74	3	2	2	Apartamento para Aluguel - Santa Genebra, 3 Quartos, 74 - Campinas	
2400	450	150	Rua Barão Geraldo de Resende, Botafogo	47	1	1	1	Excelente apartamento para quem busca praticidade e comodidade. Ao lado do complexo Dot Office, você concilia trabalho e casa praticamente juntos. Apartamento estilo loft totalment...	
2100	350	110	Vila Nova, Campinas	58	2	1	2	Excelente apartamento, dispõem de 58 metros, piso laminado, 02 dormitórios, 01 suíte com armários, living 02 ambientes, banheiro com armário, cozinha e área de serviço. Condomínio...	
2300		118	Rua Advogado Luíz Gama, Bonfim	286	3	3	2	Casa para Aluguel - Bonfim, 3 Quartos, 286 - Campinas	
1300		50	Rua Francisco Bianchini, Jardim dos Oliveiras	100	3	1	1	Casa para Aluguel - Jardim dos Oliveiras, 3 Quartos, 100 - Campinas	
1200	570	65	Rua Conceição, Cambuí	69	2	1	1	Apartamento para Aluguel - Cambuí, 2 Quartos, 69 - Campinas	
4000		139	Jardim Guarani, Campinas	220	3	6	5	Casa para Alugar no bairro Jardim Guarani em Campinas. Imóvel repaginado, muito conservado em rua tranquila próximo ao Colégio Coração de Jesus e Hortifrútis.Casa com ampla...	
3600		400	Avenida Comendador Aladino Selmi, Vila San Martin	240	0	5	3	Barracao comercial para LocaçãoVila San Martin, Campinas2 salas, 3 banheiros, 5 vagas240,00 m² construídaCódigo imóvel site bancoimovel:BA00260CRECI:026.659...	
4000		240	Swift, Campinas	337	0	2	0	Barracão para locação no bairro Swift em Campinas SP.Excelente Barracão, com escritório e mezanino e banheiro, pronto para receber sua linha de produção, ótima localização e ex...	
2200	529	138	Rua Adelino Martins, Mansões Santo Antônio	66	3	2	2	O apartamento no bairro Mansões Santo Antônio tem 66 metros quadrados com 3 quartos sendo 1 suite e 2 banheirosPossui área de fitness, espaço gourmet, área verde de jardim, pla...	
2600		168	Bonfim, Campinas	180	3	3	3	Excelente casa residencial no Bairro Bonfim contendo 03 dormitórios com armários planejados, sendo 01 suíte, 02 salas, cozinha planejada, área de serviços coberta, rua tranquila, s...	
1850	470	150	Rua Dez de Setembro, Centro	70	2	1	2	Apartamento para Aluguel - Centro, 2 Quartos, 70 - Campinas	
1300			Rua João Amêndola, Parque da Figueira	150	3	2	1	Casa para Aluguel - Parque das Águas, 3 Quartos, 150 - Campinas	
1600	299	75	Avenida Governador Pedro de Toledo, Bonfim	55	2	1	2	Apartamento para Aluguel - Bonfim, 2 Quartos, 55 - Campinas	
3200	406	122	Taquaral, Campinas	60	2	2	2	Se está buscando aconchego, bom gosto, praticidade e segurança este apartamento é para você, além de tudo está a apenas três quarteirões da Lagoa, onde você pode caminhar, correr e...	
1000	270		Avenida São José dos Campos, Jardim Nova Europa	45	2	0	2	apartamento com 02 dormitórios e garagemárea de lazer com piscina, salão de festas. -	
2200	450	90	Jardim Chapadão, Campinas	70	3	1	2	Ótima localização, sala ampla para 2 ambientes com sacada, piso frio, banheiro social com armários, 3 dormitórios sendo 2 com armários e 1 suíte, cozinha planejada, área de serviço...	
3200		80	Avenida São José dos Campos, Jardim Nova Europa	115	2	3	2	Casa Comercial para Alugar no Jardim Nova EuropaCasa comercial com ampla sala para dois ambientes, 2 dormitórios, sendo uma suíte, todos com armários embutidos, 2 banheiros...	
1136	200		Rua Antônio Rodrigues de Carvalho, Jardim Interlagos	60	2	1	1	Apartamento para Aluguel - Jardim Interlagos, 2 Quartos, 60 - Campinas	
2300		72	Vila Georgina, Campinas	82	2	2	2	Ótima casa Comercial com 2 dormitórios com armários planejados no Jardim das Oliveiras, contendo: sala, cozinha planejada, lavanderia fechada, 1 suíte, piso frio e 2 garagens paral...	
1122	260	65	Rua Nazareno Mingoni, Jardim do Lago	48	2	1	1	Apartamento para Aluguel - Jardim do Lago, 2 Quartos, 48 - Campinas	
1250	345	20	Avenida Doutor Carlos de Campos, Vila Industrial	60	2	1	1	Apartamento para Aluguel - Vila Industrial, 2 Quartos, 60 - Campinas	
2200	470	75	Rua Otávio Machado, Taquaral	90	3	2	2	Apartamento para Aluguel - Taquaral, 3 Quartos, 90 - Campinas	
1200	480	60	Rua Antônio Marques Serra, Jardim Antonio Von Zuben	75	3	2	1	Excelente apartamento sendo 3 dormitórios, 1 suíte com armários planejados, living para 2 ambientes, com sacada e vista livre, banheiro social, cozinha rica em armários, área de se...	
1700	700	175	Rua Benedito Ferreira Marques, Parque Industrial	99	3	2	3	EXCELENTE APARTAMENTO EM CAMPINAS ÓTIMA LOCALIZAÇÃO AGENDE SUA VISITA!!!São 3 aconchegantes dormitórios sendo 1 suíte, wc social, agradável living para dois ambientes com sacad...	
2300		290	Rua Piratininga, Chácara da Barra	75	2	2	2	Apartamento para locação em Campinas na Chacára da Barra, novo com 2 dormitóriosVantagens do Imovel:- Sol da manhã;- Lavanderia externa aberta;- Área de luz;	
